acquisition_campaignID,NPU_Count,First_GMV,Avg_First_Amount,Median_First_Amount,Total_First_Discount,Avg_First_Discount,Dominant_First_Category,Dominant_Promotion_Type,First_month_min,First_month_max,First_Subsidy_Rate
8571,32,4136491,129265.34375,135000.0,1697000,53031.25,Unknown_Group,direct discount,2022-07-02 14:20:52.918,2022-07-31 13:47:21.559,0.410251104136332
8573,30,3965000,132166.66666666666,100000.0,2320000,77333.33333333333,Unknown_Group,direct discount,2022-07-01 15:09:54.361,2022-07-31 09:33:21.255,0.5851197982345523
8578,196,9310000,47500.0,47500.0,8330000,42500.0,Interactive_Service,direct discount,2022-06-30 09:56:07.258,2022-07-14 22:08:13.768,0.8947368421052632
8584,67,16699178,249241.46268656716,249090.0,1675000,25000.0,Unknown_Group,direct discount,2022-07-01 08:56:36.817,2022-07-07 15:49:26.516,0.10030433833329999
8585,12,2589010,215750.83333333334,189000.0,180000,15000.0,Goods_Transaction,direct discount,2022-07-31 15:53:48.538,2022-11-26 13:01:34.667,0.06952464455525471
8586,2,24020,12010.0,12010.0,18000,9000.0,Access_Service,voucher,2022-07-08 06:30:31.971,2022-07-08 20:55:11.712,0.7493755203996669
8587,9,2927000,325222.22222222225,308000.0,180000,20000.0,Goods_Transaction,direct discount,2022-07-08 11:17:54.622,2022-07-31 11:07:00.844,0.061496412709258624
8589,1164,807407625,693649.162371134,450017.5,58200000,50000.0,Obligation_Payment,voucher,2022-06-23 17:38:04.100,2022-07-27 22:47:13.017,0.07208254938142304
8590,13,2370000,182307.6923076923,150000.0,650000,50000.0,Unknown_Group,direct discount,2022-07-16 13:18:27.939,2022-07-31 23:59:49.866,0.2742616033755274
8597,23,8839000,384304.347826087,290000.0,1150000,50000.0,Mobility_Service,direct discount,2022-07-04 07:41:32.076,2022-08-31 23:05:27.193,0.13010521552211787
8612,51,100673968,1973999.3725490195,1460000.0,1530000,30000.0,Obligation_Payment,voucher,2022-07-01 11:09:05.806,2022-08-26 10:42:07.234,0.015197573219722501
8613,3,1756559,585519.6666666666,201545.0,150000,50000.0,Obligation_Payment,voucher,2022-07-13 10:25:52.744,2022-07-26 12:13:50.494,0.08539422814719004
8625,1,10000,10000.0,10000.0,1000,1000.0,Access_Service,voucher,2022-07-06 20:43:11.620,2022-07-06 20:43:11.620,0.1
8652,1,65000,65000.0,65000.0,5000,5000.0,Financial_Service,voucher,2022-07-12 15:09:53.192,2022-07-12 15:09:53.192,0.07692307692307693
8653,1,25000,25000.0,25000.0,6000,6000.0,Daily_Consumption,voucher,2022-07-29 08:55:53.044,2022-07-29 08:55:53.044,0.24
8693,6,840000,140000.0,140000.0,90000,15000.0,Interactive_Service,direct discount,2022-07-14 17:09:39.469,2022-07-23 15:07:46.946,0.10714285714285714
8695,194,9412185,48516.4175257732,20000.0,1940000,10000.0,Access_Service,voucher,2022-07-04 17:47:40.098,2022-08-02 18:26:06.248,0.20611579564150087
8696,367,19188086,52283.61307901907,27900.0,3670000,10000.0,Access_Service,voucher,2022-07-06 08:41:24.000,2022-08-03 18:49:47.303,0.19126451695077873
8697,2,495340,247670.0,247670.0,20000,10000.0,Goods_Transaction,direct discount,2022-07-06 19:52:54.633,2022-07-06 21:10:18.204,0.04037630718294505
